Name;Alignment;Abilities;Strength;Armor;Luck;Greed;Level
Alias X;Hero;Flying,Super Strength,Invulnerability;80;73;40;5;5
Black Commander;Hero;Telepathy,Invulnerability;45;70;23;13;10
Destiny;Neutral;Necromancy,Mind Control;55;40;16;26;20
Liberator;Hero;Healing,Teleporting;63;55;30;26;30
Tornado Tim;Hero;Pyrokinesis,Mind Control;59;54;22;26;60
Atmos Fear;Villain;Flying,Super Strength,Invulnerability;80;73;10;26;5
Chiss;Villain;Telepathy,Invulnerability;45;70;10;21;10
Green Genie;Neutral;Necromancy,Mind Control;55;40;10;32;20
Manx;Villain;Healing,Teleporting;63;54;10;15;30
Torque;Villain;Pyrokinesis,Mind Control;59;54;10;16;50




